TARIH,Gerçek,Tahmin,Hata,Mutlak Hata
2019-01-01,9915,15590,-5675,5675
2019-02-01,8420,11079,-2659,2659
2019-03-01,7389,9679,-2290,2290
2019-04-01,6937,8667,-1730,1730
2019-05-01,13559,8124,5435,5435
2019-06-01,4296,12337,-8041,8041
2019-07-01,4148,6371,-2223,2223
2019-08-01,4666,5980,-1314,1314
2019-09-01,7099,6133,966,966
2019-10-01,8091,7673,418,418
2019-11-01,7657,8446,-789,789
2019-12-01,11072,8284,2788,2788
2020-01-01,25070,10591,14479,14479
2020-02-01,7314,20112,-12798,12798
2020-03-01,5803,8741,-2938,2938
2020-04-01,2347,7491,-5144,5144
2020-05-01,1640,4887,-3247,3247
2020-06-01,3208,4062,-854,854
2020-07-01,3017,4865,-1848,1848
2020-08-01,6071,4701,1370,1370
2020-09-01,4651,6704,-2053,2053
2020-10-01,2763,5935,-3172,3172
2020-11-01,3684,4688,-1004,1004
2020-12-01,2604,5199,-2595,2595
2021-01-01,5398,4472,926,926
2021-02-01,5267,6262,-995,995
2021-03-01,5139,6313,-1174,1174
2021-04-01,5476,6298,-822,822
2021-05-01,4072,6553,-2481,2481
2021-06-01,5018,5650,-632,632
2021-07-01,4818,6215,-1397,1397
2021-08-01,4650,6102,-1452,1452
2021-09-01,4563,5990,-1427,1427
2021-10-01,4073,5922,-1849,1849
2021-11-01,4115,5584,-1469,1469
2021-12-01,4374,5576,-1202,1202
2022-01-01,4606,5731,-1125,1125
2022-02-01,3965,5893,-1928,1928
2022-03-01,4990,5483,-493,493
2022-04-01,4436,6137,-1701,1701
2022-05-01,5888,5814,74,74
2022-06-01,6375,6773,-398,398
2022-07-01,5389,7183,-1794,1794
2022-08-01,4871,6602,-1731,1731
2022-09-01,5212,6239,-1027,1027
2022-10-01,4916,6424,-1508,1508
2022-11-01,4409,6223,-1814,1814
2022-12-01,3701,5865,-2164,2164
2023-01-01,5804,5351,453,453
2023-02-01,4702,6682,-1980,1980
2023-03-01,5632,6040,-408,408
2023-04-01,5634,6647,-1013,1013
2023-05-01,5281,6697,-1416,1416
2023-06-01,5759,6489,-730,730
2023-07-01,6721,6801,-80,80
2023-08-01,6771,7466,-695,695
2023-09-01,6751,7573,-822,822
2023-10-01,6883,7604,-721,721
2023-11-01,6955,7714,-759,759
2023-12-01,9453,7782,1671,1671
2024-01-01,9193,9454,-261,261
2024-02-01,8685,9447,-762,762
2024-03-01,8883,9184,-301,301
2024-04-01,8313,9325,-1012,1012
2024-05-01,9399,8960,439,439
2024-06-01,9018,9654,-636,636
2024-07-01,13733,9453,4280,4280
2024-08-01,16077,12576,3501,3501
2024-09-01,14707,14444,263,263
2024-10-01,10498,13851,-3353,3353
2024-11-01,9568,11113,-1545,1545
2024-12-01,45218,10287,34931,34931
2025-01-01,49448,34694,14754,14754
2025-02-01,50237,39628,10609,10609
2025-03-01,22507,41313,-18806,18806
2025-04-01,43034,22121,20913,20913
2025-05-01,48541,35319,13222,13222
